ch,sex,age_class,flyway,freq
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000011000000000000""",M,AHY,4,1
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000011000000000000""",M,HY,1,7
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000011000000000000""",M,HY,2,2
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000011000000000000""",M,HY,4,1
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000011000000000000""",F,AHY,1,1
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000011000000000000""",F,AHY,4,1
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000011000000000000""",F,HY,1,2
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000011000000000000""",F,HY,2,1
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000""",M,AHY,1,171
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000""",M,AHY,2,78
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000""",M,AHY,3,107
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000""",M,AHY,4,150
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000""",M,HY,1,989
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000""",M,HY,2,336
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000""",M,HY,3,189
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000""",M,HY,4,420
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000""",F,AHY,1,245
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000""",F,AHY,2,115
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000""",F,AHY,3,113
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000""",F,AHY,4,250
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000""",F,HY,1,963
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000""",F,HY,2,403
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000""",F,HY,3,176
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000""",F,HY,4,475
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000001""",F,AHY,1,1
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000100""",M,AHY,1,1
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000100""",F,AHY,2,1
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000001000000""",M,HY,1,1
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000001000000""",F,HY,1,1
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000100000000""",M,HY,1,1
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000001000010000000000""",M,AHY,4,1
